rain;economy;agri
155,4;0,8;16,239
163,7;0,8;16,239
136,5;0,8;16,239
163,7;0,8;16,239
298;0,8;16,239
89,2;0,8;16,239
208;0,8;16,239
208;0,8;16,239
208;0,8;16,239
369,4;0,8;16,239
170,6;0,8;16,239
149;0,8;16,239
215,9;0,8;16,239
233,5;0,8;16,239
192,8;0,8;16,239
233,5;0,8;16,239
227,9;0,8;16,239
227,9;0,8;16,239
233,5;0,8;16,239
1,8;0,8;16,239
195,3;0,8;16,239
155,4;0,8;16,239
155,4;0,8;16,239
197,3;0,8;16,239
163,7;0,8;16,239
163,7;0,8;16,239
222,3;0,8;16,239
223,9;0,8;16,239
164,1;0,8;16,239
271,5;0,8;16,239
231;0,8;16,239
299,9;0,8;16,239
276,7;0,8;16,239
295,2;0,8;16,239
63;0,8;16,239
80;0,8;16,239
66,7;0,8;16,239
93,7;0,8;16,239
233,5;0,8;16,239
255,1;0,8;16,239
262,6;0,8;16,239
233,5;0,8;16,239
298;0,8;16,239
273,3;0,8;16,239
298;0,8;16,239
158,3;0,8;16,239
125,8;0,8;16,239
164,8;0,8;16,239
159,2;0,8;16,239
162,5;0,8;16,239
162,5;0,8;16,239
273,3;0,8;16,239
197,2;0,8;16,239
175,1;0,8;16,239
175,1;0,8;16,239
175,1;0,8;16,239
183;0,8;16,239
165,8;0,8;16,239
176,5;0,8;16,239
192,6;0,8;16,239
179,8;0,8;16,239
149;0,8;16,239
179,8;0,8;16,239
149;0,8;16,239
233,5;0,8;16,239
202,4;0,8;16,239
164,1;0,8;16,239
207,3;0,8;16,239
221,6;0,8;16,239
221,6;0,8;16,239
221,6;0,8;16,239
221,6;0,8;16,239
269;0,8;16,239
215,6;0,8;16,239
262,6;0,8;16,239
262,6;0,8;16,239
227,9;0,8;16,239
227,9;0,8;16,239
227,9;0,8;16,239
227,9;0,8;16,239
215,9;0,8;16,239
207,3;0,8;16,239
207,3;0,8;16,239
211,1;0,8;16,239
211,1;0,8;16,239
211,1;0,8;16,239
211,1;0,8;16,239
207,3;0,8;16,239
211,1;0,8;16,239
208;0,8;16,239
208;0,8;16,239
262,6;0,8;16,239
262,6;0,8;16,239
262,6;0,8;16,239
254,4;0,8;16,239
254,4;0,8;16,239
254,4;0,8;16,239
228,1;0,8;16,239
232,5;0,8;16,239
298;0,8;16,239
315,6;0,8;16,239
315,6;0,8;16,239
298;0,8;16,239
298;0,8;16,239
315,6;0,8;16,239
315,6;0,8;16,239
315,6;0,8;16,239
206,2;0,8;16,239
208;0,8;16,239
58,8;0,8;16,239
279,9;0,8;16,239
222,1;0,8;16,239
208;0,8;16,239
184,6;0,8;16,239
83,6;0,8;16,239
262,6;0,8;16,239
262,6;0,8;16,239
191,1;0,8;16,239
66,7;0,8;16,239
222,9;0,8;16,239
179,3;0,8;16,239
184,6;0,8;16,239
233,5;0,8;16,239
63;0,8;16,239
80;0,8;16,239
276,7;0,8;16,239
262,6;0,8;16,239
174,8;0,8;16,239
207,3;0,8;16,239
191,1;0,8;16,239
262,2;0,8;16,239
174,8;0,8;16,239
184,6;0,8;16,239
183;0,8;16,239
175,5;0,8;16,239
165,8;0,8;16,239
174,8;0,8;16,239
46,6;0,8;16,239
155,4;0,8;16,239
140,8;0,8;16,239
155,4;0,8;16,239
163,7;0,8;16,239
237,2;0,8;16,239
159,2;0,8;16,239
137,9;0,8;16,239
232,5;0,8;16,239
232,5;0,8;16,239
223,9;0,8;16,239
223,9;0,8;16,239
83,6;0,8;16,239
58,8;0,8;16,239
114,6;0,8;16,239
184,6;0,8;16,239
46,6;0,8;16,239
53,8;0,8;16,239
227,9;0,8;16,239
369,4;0,8;16,239
295,2;0,8;16,239
164,8;0,8;16,239
197,2;0,8;16,239
20,9;0,8;16,239
80,6;0,8;16,239
165,3;0,8;16,239
207,3;0,8;16,239
94,8;5,7;2,66
285,7;5,7;2,66
3,9;5,7;2,66
4,5;5,7;2,66
3,9;5,7;2,66
0,1;5,7;2,66
10,1;5,7;2,66
10,1;5,7;2,66
0,1;5,7;2,66
0,1;5,7;2,66
143,4;3,28;8,784
168;3,28;8,784
217,6;3,28;8,784
217,6;3,28;8,784
143,3;3,28;8,784
143,3;3,28;8,784
143,3;3,28;8,784
143,3;3,28;8,784
143,3;3,28;8,784
71,8;3,28;8,784
147,4;3,28;8,784
143,4;3,28;8,784
147,4;3,28;8,784
121;3,28;8,784
120,6;3,28;8,784
143,8;3,28;8,784
132;3,28;8,784
126,6;3,28;8,784
82,1;3,28;8,784
115,7;3,28;8,784
3,5;3,28;8,784
0,3;3,28;8,784
143,4;3,28;8,784
58,2;3,28;8,784
143,3;3,28;8,784
160,6;3,28;8,784
147,4;3,28;8,784
64,6;3,28;8,784
120,6;3,28;8,784
197,2;3,28;8,784
130,7;3,28;8,784
91,2;3,28;8,784
115,7;3,28;8,784
262,8;3,41;67,988
313,6;3,41;67,988
318,4;3,41;67,988
313,6;3,41;67,988
21,6;3,41;67,988
330,6;3,41;67,988
369,5;3,41;67,988
154,3;3,41;67,988
178,3;3,41;67,988
347,8;3,41;67,988
232,2;3,41;67,988
258,6;3,41;67,988
144,3;3,41;67,988
510,9;3,41;67,988
174,6;3,41;67,988
308,4;3,41;67,988
577,4;3,41;67,988
228,9;3,41;67,988
577,4;3,41;67,988
416,3;3,41;67,988
176;3,41;67,988
240,7;3,41;67,988
286,1;3,41;67,988
240,7;3,41;67,988
434,6;3,41;67,988
286,1;3,41;67,988
208;3,41;67,988
434,6;3,41;67,988
152;3,41;67,988
510,9;3,41;67,988
273,3;3,41;67,988
577,4;3,41;67,988
317,9;3,41;67,988
434,6;3,41;67,988
357,9;3,41;67,988
75,3;3,41;67,988
498,5;3,41;67,988
352,3;3,41;67,988
357,9;3,41;67,988
317,9;3,41;67,988
347,8;3,41;67,988
275,1;3,41;67,988
347,8;3,41;67,988
352,3;3,41;67,988
317,9;3,41;67,988
577,4;3,41;67,988
317,9;3,41;67,988
272;3,41;67,988
81;3,41;67,988
138;3,41;67,988
255,5;3,41;67,988
132,8;3,41;67,988
114,9;3,41;67,988
406,7;3,41;67,988
510,9;3,41;67,988
138;3,41;67,988
577,4;3,41;67,988
313,6;3,41;67,988
89,6;3,41;67,988
80,8;3,41;67,988
317,9;3,41;67,988
406,7;3,41;67,988
406,7;3,41;67,988
366,6;3,41;67,988
420;3,41;67,988
434,6;3,41;67,988
404,4;3,41;67,988
295,1;3,41;67,988
295,1;3,41;67,988
577,4;3,41;67,988
420;3,41;67,988
577,4;3,41;67,988
406,7;3,41;67,988
577,4;3,41;67,988
420;3,41;67,988
158,5;3,41;67,988
577,4;3,41;67,988
132,8;3,41;67,988
272;3,41;67,988
132,8;3,41;67,988
577,4;3,41;67,988
321,2;3,41;67,988
347,8;3,41;67,988
347,8;3,41;67,988
313,6;3,41;67,988
510,9;3,41;67,988
337,5;3,41;67,988
337,5;3,41;67,988
268,3;3,41;67,988
510,9;3,41;67,988
485,1;3,41;67,988
286,1;3,41;67,988
313,6;3,41;67,988
272;3,41;67,988
164,7;3,41;67,988
164,7;3,41;67,988
181,4;3,41;67,988
318,4;3,41;67,988
176,7;3,41;67,988
190;3,41;67,988
188,4;3,41;67,988
178,7;3,41;67,988
166,8;3,41;67,988
166,8;3,41;67,988
190;3,41;67,988
176,7;3,41;67,988
178,7;3,41;67,988
295,1;3,41;67,988
272;3,41;67,988
446,2;3,41;67,988
352,3;3,41;67,988
272;3,41;67,988
404,4;3,41;67,988
317,9;3,41;67,988
262,4;3,41;67,988
420;3,41;67,988
323,5;7,95;55,639
363,4;7,95;55,639
401;7,95;55,639
399,6;7,95;55,639
401;7,95;55,639
256;7,95;55,639
401;7,95;55,639
359,2;7,95;55,639
555;7,95;55,639
555;7,95;55,639
483,7;7,95;55,639
399,6;7,95;55,639
366,3;7,95;55,639
483,7;7,95;55,639
359,2;7,95;55,639
401;7,95;55,639
359,2;7,95;55,639
401;7,95;55,639
483,7;7,95;55,639
483,7;7,95;55,639
483,7;7,95;55,639
374,3;7,95;55,639
483,7;7,95;55,639
310,8;7,95;55,639
359,2;7,95;55,639
310,8;7,95;55,639
483,7;7,95;55,639
461,4;7,95;55,639
401;7,95;55,639
323,5;7,95;55,639
205,3;7,95;55,639
226,7;7,95;55,639
323,5;7,95;55,639
366,3;7,95;55,639
399,6;7,95;55,639
110,9;7,95;55,639
323,5;7,95;55,639
323,5;7,95;55,639
374,3;7,95;55,639
351;7,95;55,639
363,4;7,95;55,639
442;7,95;55,639
399,6;7,95;55,639
401;7,95;55,639
401;7,95;55,639
399,6;7,95;55,639
323,5;7,95;55,639
442;7,95;55,639
359,2;7,95;55,639
200,9;7,95;55,639
433,9;7,95;55,639
365,9;7,95;55,639
226,7;7,95;55,639
363,4;7,95;55,639
505,3;7,95;55,639
170,7;7,95;55,639
226,7;7,95;55,639
505,3;7,95;55,639
226,7;7,95;55,639
401;7,95;55,639
365,9;7,95;55,639
364,2;7,95;55,639
401;7,95;55,639
359,2;7,95;55,639
505,3;7,95;55,639
363,4;7,95;55,639
461,4;7,95;55,639
375,2;7,95;55,639
375,5;7,95;55,639
375,5;7,95;55,639
505,3;7,95;55,639
481,2;7,95;55,639
375,5;7,95;55,639
483,7;7,95;55,639
375,5;7,95;55,639
401;7,95;55,639
483,7;7,95;55,639
401;7,95;55,639
359,2;7,95;55,639
365,9;7,95;55,639
170,7;7,95;55,639
110,9;7,95;55,639
170,7;7,95;55,639
170,7;7,95;55,639
226,7;7,95;55,639
170,7;7,95;55,639
323,5;7,95;55,639
110,9;7,95;55,639
226,7;7,95;55,639
226,7;7,95;55,639
481,2;7,95;55,639
323,5;7,95;55,639
505,3;7,95;55,639
359,2;7,95;55,639
442;7,95;55,639
323,5;7,95;55,639
323,5;7,95;55,639
323,5;7,95;55,639
170,7;7,95;55,639
232;-1,2;16,216
106,7;-1,2;16,216
232;-1,2;16,216
193,8;-1,2;16,216
232;-1,2;16,216
326,4;-1,2;16,216
310,7;-1,2;16,216
175,7;-1,2;16,216
280,2;-1,2;16,216
347,2;-1,2;16,216
161,2;-1,2;16,216
256,7;-1,2;16,216
232;-1,2;16,216
154,7;-1,2;16,216
250,2;-1,2;16,216
341,8;-1,2;16,216
416;-1,2;16,216
206,9;-1,2;16,216
405,1;-1,2;16,216
232,2;-1,2;16,216
34,7;-1,2;16,216
158,7;-1,2;16,216
416;-1,2;16,216
41;-1,2;16,216
193,8;-1,2;16,216
206,9;-1,2;16,216
311,2;-1,2;16,216
326,4;-1,2;16,216
324,7;-1,2;16,216
232;-1,2;16,216
324,4;-1,2;16,216
397;-1,2;16,216
22,1;-1,2;16,216
9,8;-1,2;16,216
351,8;-1,2;16,216
90,2;-1,2;16,216
351,8;-1,2;16,216
349;-1,2;16,216
268,4;-1,2;16,216
354,5;-1,2;16,216
349;-1,2;16,216
90,2;-1,2;16,216
42;-1,2;16,216
180,8;-1,2;16,216
137,4;-1,2;16,216
158,7;-1,2;16,216
18,3;-1,2;16,216
180,8;-1,2;16,216
347,2;-1,2;16,216
310,7;-1,2;16,216
354,5;-1,2;16,216
324,4;-1,2;16,216
354,5;-1,2;16,216
324,4;-1,2;16,216
386,4;-1,2;16,216
397;-1,2;16,216
397;-1,2;16,216
381,6;-1,2;16,216
397;-1,2;16,216
397;-1,2;16,216
347,2;-1,2;16,216
180,8;-1,2;16,216
192,5;-1,2;16,216
347,2;-1,2;16,216
331,8;-1,2;16,216
331,8;-1,2;16,216
405,1;-1,2;16,216
378,1;-1,2;16,216
90,2;-1,2;16,216
90,2;-1,2;16,216
180,8;-1,2;16,216
166,5;-1,2;16,216
405,1;-1,2;16,216
370,6;-1,2;16,216
405,1;-1,2;16,216
405,1;-1,2;16,216
166,5;-1,2;16,216
142,4;-1,2;16,216
405,1;-1,2;16,216
349;-1,2;16,216
421,1;-1,2;16,216
421,1;-1,2;16,216
166,5;-1,2;16,216
405,1;-1,2;16,216
206,9;-1,2;16,216
349;-1,2;16,216
405,1;-1,2;16,216
188,7;-1,2;16,216
381,6;-1,2;16,216
354,5;-1,2;16,216
90,2;-1,2;16,216
215,5;-1,2;16,216
232;-1,2;16,216
260,3;-1,2;16,216
232;-1,2;16,216
397;-1,2;16,216
56;-1,2;16,216
331,8;-1,2;16,216
331,8;-1,2;16,216
331,8;-1,2;16,216
421,1;-1,2;16,216
166,5;-1,2;16,216
197,9;-1,2;16,216
328,5;-1,2;16,216
324,4;-1,2;16,216
351,8;-1,2;16,216
324,4;-1,2;16,216
326,4;-1,2;16,216
326,4;-1,2;16,216
324,4;-1,2;16,216
0,6;-1,2;16,216
186;-1,2;16,216
215,5;-1,2;16,216
215,5;-1,2;16,216
256,7;-1,2;16,216
232;-1,2;16,216
232;-1,2;16,216
280,3;-1,2;16,216
232,2;-1,2;16,216
354,8;-1,2;16,216
170,8;-1,2;16,216
144,7;-1,2;16,216
122,1;-1,2;16,216
129,1;-1,2;16,216
356,4;-1,2;16,216
144,4;-1,2;16,216
188,8;-1,2;16,216
142,4;-1,2;16,216
185,5;-1,2;16,216
324,4;-1,2;16,216
354,5;-1,2;16,216
354,9;-1,2;16,216
324,4;-1,2;16,216
397;-1,2;16,216
378,1;-1,2;16,216
397;-1,2;16,216
131,5;-1,2;16,216
148;-1,2;16,216
160,9;-1,2;16,216
158,7;-1,2;16,216
161,2;-1,2;16,216
161,2;-1,2;16,216
378,1;-1,2;16,216
324,7;-1,2;16,216
108,4;-1,2;16,216
108,4;-1,2;16,216
108,4;-1,2;16,216
108,8;-1,2;16,216
95,2;-1,2;16,216
90,8;-1,2;16,216
127,2;-1,2;16,216
349;-1,2;16,216
305,4;-1,2;16,216
349;-1,2;16,216
305,4;-1,2;16,216
324,4;-1,2;16,216
368,6;-1,2;16,216
354,8;-1,2;16,216
135;-1,2;16,216
263,4;-1,2;16,216
263,4;-1,2;16,216
263,4;-1,2;16,216
263,4;-1,2;16,216
187,4;-1,2;16,216
239,8;-1,2;16,216
354,9;-1,2;16,216
354,9;-1,2;16,216
326,4;-1,2;16,216
326,4;-1,2;16,216
326,4;-1,2;16,216
326,4;-1,2;16,216
328,5;-1,2;16,216
135;-1,2;16,216
135;-1,2;16,216
125,8;-1,2;16,216
125,8;-1,2;16,216
125,8;-1,2;16,216
125,8;-1,2;16,216
135;-1,2;16,216
125,8;-1,2;16,216
331,8;-1,2;16,216
331,8;-1,2;16,216
347,2;-1,2;16,216
347,2;-1,2;16,216
347,2;-1,2;16,216
317,2;-1,2;16,216
317,2;-1,2;16,216
317,2;-1,2;16,216
287,7;-1,2;16,216
307,9;-1,2;16,216
397;-1,2;16,216
370,6;-1,2;16,216
370,6;-1,2;16,216
397;-1,2;16,216
397;-1,2;16,216
370,6;-1,2;16,216
370,6;-1,2;16,216
370,6;-1,2;16,216
108;-1,2;16,216
331,8;-1,2;16,216
90,2;-1,2;16,216
127,1;-1,2;16,216
133;-1,2;16,216
331,8;-1,2;16,216
116,4;-1,2;16,216
130;-1,2;16,216
347,2;-1,2;16,216
347,2;-1,2;16,216
311,2;-1,2;16,216
142,4;-1,2;16,216
188,7;-1,2;16,216
117;-1,2;16,216
116,4;-1,2;16,216
324,4;-1,2;16,216
144,4;-1,2;16,216
188,8;-1,2;16,216
129,1;-1,2;16,216
354,9;-1,2;16,216
193,8;-1,2;16,216
135;-1,2;16,216
311,2;-1,2;16,216
341,8;-1,2;16,216
193,8;-1,2;16,216
116,4;-1,2;16,216
108,8;-1,2;16,216
114,4;-1,2;16,216
95,2;-1,2;16,216
193,8;-1,2;16,216
42;-1,2;16,216
215,5;-1,2;16,216
194,8;-1,2;16,216
215,5;-1,2;16,216
232;-1,2;16,216
179,3;-1,2;16,216
158,7;-1,2;16,216
30,1;-1,2;16,216
307,9;-1,2;16,216
307,9;-1,2;16,216
232,2;-1,2;16,216
232,2;-1,2;16,216
130;-1,2;16,216
90,2;-1,2;16,216
147,1;-1,2;16,216
116,4;-1,2;16,216
42;-1,2;16,216
90,2;-1,2;16,216
326,4;-1,2;16,216
421,1;-1,2;16,216
356,4;-1,2;16,216
160,9;-1,2;16,216
324,7;-1,2;16,216
5,6;-1,2;16,216
73,3;-1,2;16,216
85,8;-1,2;16,216
135;-1,2;16,216
48,2;1,08;2,655
102,3;1,08;2,655
2,6;1,08;2,655
2,9;1,08;2,655
4;1,08;2,655
0,9;1,08;2,655
10,6;1,08;2,655
10,6;1,08;2,655
0,9;1,08;2,655
0,9;1,08;2,655
181;3,28;8,786
200,8;3,28;8,786
245;3,28;8,786
245;3,28;8,786
166,4;3,28;8,786
166,4;3,28;8,786
166,4;3,28;8,786
166,4;3,28;8,786
166,4;3,28;8,786
41,8;3,28;8,786
257,7;3,28;8,786
181;3,28;8,786
257,7;3,28;8,786
59,3;3,28;8,786
59,9;3,28;8,786
193,1;3,28;8,786
142,5;3,28;8,786
59,1;3,28;8,786
76,7;3,28;8,786
86,1;3,28;8,786
0,4;3,28;8,786
0,1;3,28;8,786
181;3,28;8,786
3,8;3,28;8,786
166,4;3,28;8,786
72,3;3,28;8,786
257,7;3,28;8,786
50,3;3,28;8,786
59,9;3,28;8,786
253;3,28;8,786
162,4;3,28;8,786
50,1;3,28;8,786
86,1;3,28;8,786
156,8;7,22;68,015
176,7;7,22;68,015
214,3;7,22;68,015
176,7;7,22;68,015
19,5;7,22;68,015
180,5;7,22;68,015
244,8;7,22;68,015
133,4;7,22;68,015
98,7;7,22;68,015
202,4;7,22;68,015
172,5;7,22;68,015
134,8;7,22;68,015
135,1;7,22;68,015
465,5;7,22;68,015
156,5;7,22;68,015
164;7,22;68,015
404,2;7,22;68,015
117,1;7,22;68,015
404,2;7,22;68,015
268,5;7,22;68,015
87,6;7,22;68,015
185,2;7,22;68,015
188,6;7,22;68,015
185,2;7,22;68,015
249,6;7,22;68,015
188,6;7,22;68,015
87,8;7,22;68,015
249,6;7,22;68,015
79,2;7,22;68,015
465,5;7,22;68,015
130,4;7,22;68,015
404,2;7,22;68,015
182,5;7,22;68,015
249,6;7,22;68,015
180,5;7,22;68,015
44;7,22;68,015
318,8;7,22;68,015
235,7;7,22;68,015
180,5;7,22;68,015
182,5;7,22;68,015
202,4;7,22;68,015
172,6;7,22;68,015
202,4;7,22;68,015
235,7;7,22;68,015
182,5;7,22;68,015
404,2;7,22;68,015
182,5;7,22;68,015
183,9;7,22;68,015
37,5;7,22;68,015
58,6;7,22;68,015
185,7;7,22;68,015
51,9;7,22;68,015
56,3;7,22;68,015
250,4;7,22;68,015
465,5;7,22;68,015
58,6;7,22;68,015
404,2;7,22;68,015
176,7;7,22;68,015
44,9;7,22;68,015
48,7;7,22;68,015
182,5;7,22;68,015
250,4;7,22;68,015
250,4;7,22;68,015
230,9;7,22;68,015
275,3;7,22;68,015
249,6;7,22;68,015
268,7;7,22;68,015
202,8;7,22;68,015
202,8;7,22;68,015
404,2;7,22;68,015
275,3;7,22;68,015
404,2;7,22;68,015
250,4;7,22;68,015
404,2;7,22;68,015
275,3;7,22;68,015
84,5;7,22;68,015
404,2;7,22;68,015
51,9;7,22;68,015
183,9;7,22;68,015
51,9;7,22;68,015
404,2;7,22;68,015
180,3;7,22;68,015
202,4;7,22;68,015
202,4;7,22;68,015
176,7;7,22;68,015
465,5;7,22;68,015
232,2;7,22;68,015
232,2;7,22;68,015
145,9;7,22;68,015
465,5;7,22;68,015
426,2;7,22;68,015
188,6;7,22;68,015
176,7;7,22;68,015
183,9;7,22;68,015
57,1;7,22;68,015
57,1;7,22;68,015
59,4;7,22;68,015
214,3;7,22;68,015
76,6;7,22;68,015
139,1;7,22;68,015
151,2;7,22;68,015
117,1;7,22;68,015
48,7;7,22;68,015
48,7;7,22;68,015
139,1;7,22;68,015
76,6;7,22;68,015
117,1;7,22;68,015
202,8;7,22;68,015
183,9;7,22;68,015
357;7,22;68,015
235,7;7,22;68,015
183,9;7,22;68,015
268,7;7,22;68,015
182,5;7,22;68,015
146,9;7,22;68,015
275,3;7,22;68,015
133,1;3,9;59,282
218,4;3,9;59,282
451,6;3,9;59,282
447,4;3,9;59,282
451,6;3,9;59,282
426,4;3,9;59,282
451,6;3,9;59,282
434;3,9;59,282
412,1;3,9;59,282
412,1;3,9;59,282
403,7;3,9;59,282
447,4;3,9;59,282
478,6;3,9;59,282
403,7;3,9;59,282
434;3,9;59,282
451,6;3,9;59,282
434;3,9;59,282
451,6;3,9;59,282
403,7;3,9;59,282
403,7;3,9;59,282
403,7;3,9;59,282
484,6;3,9;59,282
403,7;3,9;59,282
429,5;3,9;59,282
434;3,9;59,282
429,5;3,9;59,282
403,7;3,9;59,282
373,1;3,9;59,282
451,6;3,9;59,282
133,1;3,9;59,282
263,9;3,9;59,282
160,1;3,9;59,282
133,1;3,9;59,282
478,6;3,9;59,282
447,4;3,9;59,282
103,8;3,9;59,282
133,1;3,9;59,282
133,1;3,9;59,282
484,6;3,9;59,282
190,7;3,9;59,282
218,4;3,9;59,282
522,8;3,9;59,282
447,4;3,9;59,282
451,6;3,9;59,282
451,6;3,9;59,282
447,4;3,9;59,282
133,1;3,9;59,282
522,8;3,9;59,282
434;3,9;59,282
106;3,9;59,282
402;3,9;59,282
185,5;3,9;59,282
160,1;3,9;59,282
218,4;3,9;59,282
344,7;3,9;59,282
145,8;3,9;59,282
160,1;3,9;59,282
344,7;3,9;59,282
160,1;3,9;59,282
451,6;3,9;59,282
185,5;3,9;59,282
254,3;3,9;59,282
451,6;3,9;59,282
434;3,9;59,282
344,7;3,9;59,282
218,4;3,9;59,282
373,1;3,9;59,282
233,9;3,9;59,282
283,4;3,9;59,282
283,4;3,9;59,282
344,7;3,9;59,282
446,4;3,9;59,282
283,4;3,9;59,282
403,7;3,9;59,282
255,6;3,9;59,282
451,6;3,9;59,282
403,7;3,9;59,282
451,6;3,9;59,282
434;3,9;59,282
185,5;3,9;59,282
145,8;3,9;59,282
103,8;3,9;59,282
145,8;3,9;59,282
145,8;3,9;59,282
160,1;3,9;59,282
145,8;3,9;59,282
133,1;3,9;59,282
103,8;3,9;59,282
160,1;3,9;59,282
160,1;3,9;59,282
446,4;3,9;59,282
133,1;3,9;59,282
344,7;3,9;59,282
434;3,9;59,282
522,8;3,9;59,282
133,1;3,9;59,282
133,1;3,9;59,282
133,1;3,9;59,282
145,8;3,9;59,282
297,4;1,8;16,318
64,3;1,8;16,318
297,4;1,8;16,318
298,4;1,8;16,318
297,4;1,8;16,318
376,7;1,8;16,318
208,4;1,8;16,318
324,9;1,8;16,318
242,4;1,8;16,318
352,2;1,8;16,318
109,4;1,8;16,318
335,9;1,8;16,318
297,4;1,8;16,318
166;1,8;16,318
201,3;1,8;16,318
238,4;1,8;16,318
298;1,8;16,318
261,4;1,8;16,318
318,3;1,8;16,318
212,2;1,8;16,318
44,9;1,8;16,318
127,9;1,8;16,318
298;1,8;16,318
47;1,8;16,318
298,4;1,8;16,318
261,4;1,8;16,318
250;1,8;16,318
376,7;1,8;16,318
280,9;1,8;16,318
297,4;1,8;16,318
240,5;1,8;16,318
301,1;1,8;16,318
22,2;1,8;16,318
9,9;1,8;16,318
313,6;1,8;16,318
61,1;1,8;16,318
313,6;1,8;16,318
269,9;1,8;16,318
250,7;1,8;16,318
236,8;1,8;16,318
269,9;1,8;16,318
61,1;1,8;16,318
33,2;1,8;16,318
124,9;1,8;16,318
177,7;1,8;16,318
127,9;1,8;16,318
42,3;1,8;16,318
124,9;1,8;16,318
352,2;1,8;16,318
208,4;1,8;16,318
236,8;1,8;16,318
240,5;1,8;16,318
236,8;1,8;16,318
240,5;1,8;16,318
263,9;1,8;16,318
301,1;1,8;16,318
301,1;1,8;16,318
292,4;1,8;16,318
301,1;1,8;16,318
301,1;1,8;16,318
352,2;1,8;16,318
124,9;1,8;16,318
138,4;1,8;16,318
352,2;1,8;16,318
257,5;1,8;16,318
257,5;1,8;16,318
318,3;1,8;16,318
323,4;1,8;16,318
61,1;1,8;16,318
61,1;1,8;16,318
124,9;1,8;16,318
134,5;1,8;16,318
318,3;1,8;16,318
309,4;1,8;16,318
318,3;1,8;16,318
318,3;1,8;16,318
134,5;1,8;16,318
86;1,8;16,318
318,3;1,8;16,318
269,9;1,8;16,318
299,3;1,8;16,318
299,3;1,8;16,318
134,5;1,8;16,318
318,3;1,8;16,318
261,4;1,8;16,318
269,9;1,8;16,318
318,3;1,8;16,318
170,4;1,8;16,318
292,4;1,8;16,318
236,8;1,8;16,318
61,1;1,8;16,318
232,2;1,8;16,318
297,4;1,8;16,318
193,2;1,8;16,318
297,4;1,8;16,318
301,1;1,8;16,318
40,5;1,8;16,318
257,5;1,8;16,318
257,5;1,8;16,318
257,5;1,8;16,318
299,3;1,8;16,318
134,5;1,8;16,318
152,5;1,8;16,318
330,8;1,8;16,318
240,5;1,8;16,318
313,6;1,8;16,318
240,5;1,8;16,318
376,7;1,8;16,318
376,7;1,8;16,318
240,5;1,8;16,318
0,4;1,8;16,318
300,9;1,8;16,318
232,2;1,8;16,318
232,2;1,8;16,318
335,9;1,8;16,318
297,4;1,8;16,318
297,4;1,8;16,318
224,9;1,8;16,318
212,2;1,8;16,318
284,2;1,8;16,318
296,4;1,8;16,318
222,2;1,8;16,318
303;1,8;16,318
267,4;1,8;16,318
211,6;1,8;16,318
96,3;1,8;16,318
141,5;1,8;16,318
86;1,8;16,318
134,6;1,8;16,318
240,5;1,8;16,318
236,8;1,8;16,318
273,9;1,8;16,318
240,5;1,8;16,318
301,1;1,8;16,318
323,4;1,8;16,318
301,1;1,8;16,318
136,5;1,8;16,318
125,3;1,8;16,318
155,3;1,8;16,318
127,9;1,8;16,318
109,4;1,8;16,318
109,4;1,8;16,318
323,4;1,8;16,318
